time,p0,p1,p2,p3
17:29:46.156000,0.0,0.0,308.0,310.0
17:29:46.164000,0.0,0.0,307.0,308.0
17:29:46.172000,0.0,0.0,308.0,308.0
17:29:46.186000,0.0,0.0,308.0,308.0
17:29:46.194000,0.0,0.0,308.0,308.0
17:29:46.202000,0.0,0.0,309.0,310.0
17:29:46.216000,0.0,0.0,310.0,308.0
17:29:46.224000,0.0,0.0,306.0,308.0
17:29:46.232000,0.0,0.0,308.0,308.0
17:29:46.246000,0.0,0.0,309.0,308.0
17:29:46.254000,0.0,0.0,306.0,308.0
17:29:46.262000,0.0,0.0,307.0,308.0
17:29:46.276000,0.0,0.0,308.0,311.0
17:29:46.284000,0.0,0.0,307.0,309.0
17:29:46.292000,0.0,0.0,307.0,308.0
17:29:46.306000,0.0,0.0,308.0,310.0
17:29:46.314000,0.0,0.0,307.0,308.0
17:29:46.322000,0.0,0.0,308.0,308.0
17:29:46.336000,0.0,0.0,308.0,308.0
17:29:46.344000,0.0,0.0,307.0,308.0
17:29:46.352000,0.0,0.0,309.0,308.0
17:29:46.366000,0.0,0.0,310.0,308.0
17:29:46.374000,0.0,0.0,308.0,310.0
17:29:46.382000,0.0,0.0,308.0,306.0
17:29:46.396000,0.0,0.0,308.0,309.0
17:29:46.404000,0.0,0.0,306.0,309.0
17:29:46.412000,0.0,0.0,308.0,309.0
17:29:46.426000,0.0,0.0,308.0,310.0
17:29:46.434000,0.0,0.0,306.0,308.0
17:29:46.442000,0.0,0.0,308.0,310.0
17:29:46.456000,0.0,0.0,306.0,309.0
17:29:46.464000,0.0,0.0,306.0,308.0
17:29:46.472000,0.0,0.0,308.0,310.0
17:29:46.486000,0.0,0.0,308.0,309.0
17:29:46.494000,0.0,0.0,308.0,308.0
17:29:46.502000,0.0,0.0,308.0,308.0
17:29:46.516000,0.0,0.0,308.0,308.0
17:29:46.524000,0.0,0.0,307.0,308.0
17:29:46.532000,0.0,0.0,307.0,308.0
17:29:46.546000,0.0,0.0,308.0,309.0
17:29:46.554000,0.0,0.0,308.0,308.0
17:29:46.562000,0.0,0.0,306.0,308.0
17:29:46.576000,0.0,0.0,310.0,310.0
17:29:46.584000,0.0,0.0,306.0,309.0
17:29:46.592000,0.0,0.0,310.0,308.0
17:29:46.606000,0.0,0.0,308.0,308.0
17:29:46.614000,0.0,0.0,308.0,308.0
17:29:46.622000,0.0,0.0,308.0,308.0
17:29:46.636000,0.0,0.0,308.0,309.0
17:29:46.644000,0.0,0.0,306.0,308.0
17:29:46.652000,0.0,0.0,306.0,310.0
17:29:46.666000,0.0,0.0,309.0,308.0
17:29:46.674000,0.0,0.0,306.0,309.0
17:29:46.682000,0.0,0.0,308.0,308.0
17:29:46.696000,0.0,0.0,307.0,310.0
17:29:46.704000,0.0,0.0,308.0,309.0
17:29:46.712000,0.0,0.0,307.0,308.0
17:29:46.726000,0.0,0.0,308.0,308.0
17:29:46.734000,0.0,0.0,306.0,308.0
17:29:46.742000,0.0,0.0,307.0,308.0
17:29:46.756000,0.0,0.0,309.0,310.0
17:29:46.764000,0.0,0.0,308.0,308.0
17:29:46.772000,0.0,0.0,307.0,310.0
17:29:46.786000,0.0,0.0,307.0,310.0
17:29:46.794000,0.0,0.0,308.0,308.0
17:29:46.802000,0.0,0.0,307.0,308.0
17:29:46.816000,0.0,0.0,308.0,310.0
17:29:46.824000,0.0,0.0,308.0,308.0
17:29:46.832000,0.0,0.0,308.0,309.0
17:29:46.846000,0.0,0.0,308.0,310.0
17:29:46.854000,0.0,0.0,308.0,308.0
17:29:46.862000,0.0,0.0,306.0,309.0
17:29:46.876000,0.0,0.0,308.0,309.0
17:29:46.884000,0.0,0.0,309.0,308.0
17:29:46.892000,0.0,0.0,308.0,308.0
17:29:46.906000,0.0,0.0,308.0,308.0
17:29:46.914000,0.0,0.0,308.0,310.0
17:29:46.922000,0.0,0.0,308.0,308.0
17:29:46.936000,0.0,0.0,309.0,309.0
17:29:46.944000,0.0,0.0,308.0,310.0
17:29:46.952000,0.0,0.0,308.0,308.0
17:29:46.966000,0.0,0.0,309.0,307.0
17:29:46.974000,0.0,0.0,308.0,310.0
17:29:46.982000,0.0,0.0,306.0,309.0
17:29:46.996000,0.0,0.0,308.0,309.0
17:29:47.004000,0.0,0.0,307.0,308.0
17:29:47.012000,0.0,0.0,308.0,308.0
17:29:47.026000,0.0,0.0,307.0,308.0
17:29:47.034000,0.0,0.0,308.0,308.0
17:29:47.042000,0.0,0.0,308.0,306.0
17:29:47.056000,0.0,0.0,312.0,310.0
17:29:47.064000,0.0,0.0,308.0,310.0
17:29:47.072000,0.0,0.0,309.0,308.0
17:29:47.086000,0.0,0.0,309.0,309.0
17:29:47.094000,0.0,0.0,307.0,309.0
17:29:47.102000,0.0,0.0,309.0,308.0
17:29:47.116000,0.0,0.0,309.0,310.0
17:29:47.124000,0.0,0.0,308.0,309.0
17:29:47.132000,0.0,0.0,308.0,308.0
17:29:47.146000,0.0,0.0,307.0,310.0
17:29:47.154000,0.0,0.0,307.0,308.0
17:29:47.162000,0.0,0.0,311.0,308.0
17:29:47.176000,0.0,0.0,307.0,309.0
17:29:47.184000,0.0,0.0,306.0,310.0
17:29:47.192000,0.0,0.0,308.0,308.0
17:29:47.206000,0.0,0.0,308.0,308.0
17:29:47.214000,0.0,0.0,308.0,309.0
17:29:47.222000,0.0,0.0,308.0,310.0
17:29:47.236000,0.0,0.0,308.0,309.0
17:29:47.244000,0.0,0.0,306.0,308.0
17:29:47.252000,0.0,0.0,308.0,310.0
17:29:47.266000,0.0,0.0,309.0,309.0
17:29:47.274000,0.0,0.0,308.0,308.0
17:29:47.282000,0.0,0.0,308.0,309.0
17:29:47.296000,0.0,0.0,309.0,310.0
17:29:47.304000,0.0,0.0,308.0,310.0
17:29:47.312000,0.0,0.0,307.0,308.0
